# harness	differential-sweep/1
# seed	20260817
# reference	historical
# subject	stub-faulty-minus
# sha256.use.jar	80ac8ae433b8345677472019991356950f094f4a104cfbce1f75783a7308788d
# sha256.atenearesearchgroup.uncertainty.jar	53b2a43feb0a0a39844a60278dd80a7d4b975ef324fb05c6db28831e835e59d0
# operations	URealValue.minus(value)
# rows	784
# rows.measured	784
# rows.agreement	558
# rows.disagreement	226
# rows.throwClassMismatch	0
# rows.javaTypeMismatch	0
# rows.subjectTypeObserved	0
# rows.subjectTypeAssumed	0
# verdict.AGREE	558
# verdict.DIFFER	226
# op.URealValue.minus(value).rows	784
# op.URealValue.minus(value).measured	784
# op.URealValue.minus(value).agreement	558
# op.URealValue.minus(value).disagreement	226
# op.URealValue.minus(value).javaTypeMismatch	0
# op.URealValue.minus(value).subjectTypeObserved	0
# op.URealValue.minus(value).subjectTypeAssumed	0
# op.URealValue.minus(value).distinctReferenceValues	389
# op.URealValue.minus(value).discriminating	true
# accepted.degenerateOperations	0
index	operation	inputs	historical	ported	verdict	note
26	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(-98.361875,0.358527)@URealValue	UREAL(98.361875,0.358527)@URealValue	UREAL(98.361875,0.358527)@URealValue	AGREE	
27	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(37.640335,0.974834)@URealValue	UREAL(-37.640335,0.974834)@URealValue	UREAL(-37.640335,0.974834)@URealValue	AGREE	
28	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(0.0,0.0)@URealValue	UREAL(0.0,1.0)@URealValue	UREAL(0.0,1.0)@URealValue	AGREE	
29	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(0.0,1.0)@URealValue	UREAL(0.0,1.4142135623730951)@URealValue	UREAL(0.0,0.0)@URealValue	DIFFER	
30	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-0.0,0.0)@URealValue	UREAL(0.0,1.0)@URealValue	UREAL(0.0,1.0)@URealValue	AGREE	
31	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(1.0,0.0)@URealValue	UREAL(-1.0,1.0)@URealValue	UREAL(-1.0,1.0)@URealValue	AGREE	
32	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(1.0,1.0)@URealValue	UREAL(-1.0,1.4142135623730951)@URealValue	UREAL(-1.0,0.0)@URealValue	DIFFER	
33	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-1.0,0.0)@URealValue	UREAL(1.0,1.0)@URealValue	UREAL(1.0,1.0)@URealValue	AGREE	
34	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-1.0,1.0)@URealValue	UREAL(1.0,1.4142135623730951)@URealValue	UREAL(1.0,0.0)@URealValue	DIFFER	
35	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-1.0,0.5)@URealValue	UREAL(1.0,1.118033988749895)@URealValue	UREAL(1.0,0.5)@URealValue	DIFFER	
36	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(0.5,0.5)@URealValue	UREAL(-0.5,1.118033988749895)@URealValue	UREAL(-0.5,0.5)@URealValue	DIFFER	
37	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-0.5,0.25)@URealValue	UREAL(0.5,1.0307764064044151)@URealValue	UREAL(0.5,0.75)@URealValue	DIFFER	
38	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(2.0,0.0)@URealValue	UREAL(-2.0,1.0)@URealValue	UREAL(-2.0,1.0)@URealValue	AGREE	
39	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(100.0,0.001)@URealValue	UREAL(-100.0,1.000000499999875)@URealValue	UREAL(-100.0,0.999)@URealValue	DIFFER	
40	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-100.0,0.001)@URealValue	UREAL(100.0,1.000000499999875)@URealValue	UREAL(100.0,0.999)@URealValue	DIFFER	
41	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(4.9E-324,0.0)@URealValue	UREAL(-4.9E-324,1.0)@URealValue	UREAL(-4.9E-324,1.0)@URealValue	AGREE	
42	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(1.7976931348623157E308,0.0)@URealValue	UREAL(-1.7976931348623157E308,1.0)@URealValue	UREAL(-1.7976931348623157E308,1.0)@URealValue	AGREE	
43	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-1.7976931348623157E308,0.0)@URealValue	UREAL(1.7976931348623157E308,1.0)@URealValue	UREAL(1.7976931348623157E308,1.0)@URealValue	AGREE	
44	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(NaN,0.0)@URealValue	UREAL(NaN,1.0)@URealValue	UREAL(NaN,1.0)@URealValue	AGREE	
45	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(Infinity,0.0)@URealValue	UREAL(-Infinity,1.0)@URealValue	UREAL(-Infinity,1.0)@URealValue	AGREE	
46	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-Infinity,0.0)@URealValue	UREAL(Infinity,1.0)@URealValue	UREAL(Infinity,1.0)@URealValue	AGREE	
47	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(1.0,NaN)@URealValue	UREAL(-1.0,NaN)@URealValue	UREAL(-1.0,NaN)@URealValue	AGREE	
48	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(1.0,Infinity)@URealValue	UREAL(-1.0,Infinity)@URealValue	UREAL(-1.0,Infinity)@URealValue	AGREE	
49	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(1.0,-1.0)@URealValue	UREAL(-1.0,1.4142135623730951)@URealValue	UREAL(-1.0,2.0)@URealValue	DIFFER	
50	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-46.064505,0.782649)@URealValue	UREAL(46.064505,1.269858046082711)@URealValue	UREAL(46.064505,0.21735099999999996)@URealValue	DIFFER	
51	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(28.230986,0.91554)@URealValue	UREAL(-28.230986,1.355807320971531)@URealValue	UREAL(-28.230986,0.08445999999999998)@URealValue	DIFFER	
52	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(47.696811,0.395191)@URealValue	UREAL(-47.696811,1.0752562143419586)@URealValue	UREAL(-47.696811,0.6048089999999999)@URealValue	DIFFER	
53	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-61.870069,0.428633)@URealValue	UREAL(61.870069,1.0879918421978172)@URealValue	UREAL(61.870069,0.571367)@URealValue	DIFFER	
54	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(-98.361875,0.358527)@URealValue	UREAL(98.361875,1.0623283907196492)@URealValue	UREAL(98.361875,0.641473)@URealValue	DIFFER	
